time,controller,q_error_rms,ee_error,torque_norm
0.950000,task_impedance,0.14955583,0.13598097,33.21471473
0.960000,task_impedance,0.15305019,0.13786320,33.32888562
0.970000,task_impedance,0.15658387,0.13970892,33.44227586
0.980000,task_impedance,0.16015684,0.14151712,33.55484909
0.990000,task_impedance,0.16376905,0.14328684,33.66656945
1.000000,task_impedance,0.16742042,0.14501719,33.77740126
1.010000,task_impedance,0.17111086,0.14670736,33.88730858
1.020000,task_impedance,0.17484024,0.14835661,33.99625477
1.030000,task_impedance,0.17860841,0.14996426,34.10420199
1.040000,task_impedance,0.18241516,0.15152971,34.21111077
1.050000,task_impedance,0.18626028,0.15305241,34.31693947
1.060000,task_impedance,0.19014351,0.15453192,34.42164372
1.070000,task_impedance,0.19406455,0.15596783,34.52517592
1.080000,task_impedance,0.19802306,0.15735982,34.62748462
1.090000,task_impedance,0.20201865,0.15870765,34.72851402
1.100000,task_impedance,0.20605091,0.16001112,34.82820336
1.110000,task_impedance,0.21011938,0.16127012,34.92648630
1.120000,task_impedance,0.21422354,0.16248460,35.02329042
1.130000,task_impedance,0.21836283,0.16365455,35.11853667
1.140000,task_impedance,0.22253667,0.16478006,35.21213871
1.150000,task_impedance,0.22674439,0.16586124,35.30400248
1.160000,task_impedance,0.23098531,0.16689828,35.39402566
1.170000,task_impedance,0.23525870,0.16789140,35.48209717
1.180000,task_impedance,0.23956376,0.16884089,35.56809675
1.190000,task_impedance,0.24389968,0.16974707,35.65189454
1.200000,task_impedance,0.24826557,0.17061030,35.73335069
1.210000,task_impedance,0.25266052,0.17143097,35.81231501
1.220000,task_impedance,0.25708357,0.17220951,35.88862683
1.230000,task_impedance,0.26153372,0.17294638,35.96211462
1.240000,task_impedance,0.26600994,0.17364204,36.03259592
1.250000,task_impedance,0.27051115,0.17429699,36.09987722
1.260000,task_impedance,0.27503623,0.17491173,36.16375397
1.270000,task_impedance,0.27958404,0.17548675,36.22401051
1.280000,task_impedance,0.28415341,0.17602258,36.28042033
1.290000,task_impedance,0.28874312,0.17651970,36.33274615
1.300000,task_impedance,0.29335196,0.17697862,36.38074017
1.310000,task_impedance,0.29797866,0.17739980,36.42414445
1.320000,task_impedance,0.30262196,0.17778370,36.46269129
1.330000,task_impedance,0.30728056,0.17813075,36.49610372
1.340000,task_impedance,0.31195315,0.17844136,36.52409604
1.350000,task_impedance,0.31663843,0.17871590,36.54637444
1.360000,task_impedance,0.32133507,0.17895470,36.56263776
1.370000,task_impedance,0.32604175,0.17915807,36.57257819
1.380000,task_impedance,0.33075715,0.17932624,36.57588213
1.390000,task_impedance,0.33547994,0.17945943,36.57223111
1.400000,task_impedance,0.34020881,0.17955780,36.56130277
1.410000,task_impedance,0.34494246,0.17962146,36.54277181
1.420000,task_impedance,0.34967961,0.17965048,36.51631117
1.430000,task_impedance,0.35441900,0.17964487,36.48159308
1.440000,task_impedance,0.35915937,0.17960459,36.43829026
1.450000,task_impedance,0.36389951,0.17952956,36.38607714
1.460000,task_impedance,0.36863823,0.17941965,36.32463110
1.470000,task_impedance,0.37337439,0.17927470,36.25363376
1.480000,task_impedance,0.37810688,0.17909448,36.17277226
1.490000,task_impedance,0.38283461,0.17887874,36.08174063
1.500000,task_impedance,0.38755656,0.17862719,35.98024107
1.510000,task_impedance,0.39227176,0.17833953,35.86798536
1.520000,task_impedance,0.39697928,0.17801540,35.74469611
1.530000,task_impedance,0.40167824,0.17765445,35.61010822
1.540000,task_impedance,0.40636784,0.17725631,35.46397014
1.550000,task_impedance,0.41104731,0.17682060,35.30604519
1.560000,task_impedance,0.41571598,0.17634694,35.13611285
1.570000,task_impedance,0.42037321,0.17583496,34.95397006
1.580000,task_impedance,0.42501846,0.17528431,34.75943241
1.590000,task_impedance,0.42965124,0.17469466,34.55233536
1.600000,task_impedance,0.43427115,0.17406571,34.33253536
1.610000,task_impedance,0.43887785,0.17339720,34.09991097
1.620000,task_impedance,0.44347107,0.17268891,33.85436388
1.630000,task_impedance,0.44805065,0.17194069,33.59581985
1.640000,task_impedance,0.45261649,0.17115245,33.32422970
1.650000,task_impedance,0.45716855,0.17032416,33.03957010
1.660000,task_impedance,0.46170692,0.16945589,32.74184431
1.670000,task_impedance,0.46623172,0.16854778,32.43108288
1.680000,task_impedance,0.47074320,0.16760007,32.10734429
1.690000,task_impedance,0.47524165,0.16661311,31.77071538
1.700000,task_impedance,0.47972747,0.16558736,31.42131183
1.710000,task_impedance,0.48420114,0.16452338,31.05927848
1.720000,task_impedance,0.48866321,0.16342186,30.68478954
1.730000,task_impedance,0.49311431,0.16228364,30.29804876
1.740000,task_impedance,0.49755517,0.16110966,29.89928947
1.750000,task_impedance,0.50198657,0.15990101,29.48877449
1.760000,task_impedance,0.50640940,0.15865893,29.06679601
1.770000,task_impedance,0.51082459,0.15738480,28.63367539
1.780000,task_impedance,0.51523316,0.15608015,28.18976274
1.790000,task_impedance,0.51963621,0.15474666,27.73543654
1.800000,task_impedance,0.52403490,0.15338615,27.27110314
1.810000,task_impedance,0.52843043,0.15200061,26.79719614
1.820000,task_impedance,0.53282412,0.15059218,26.31417574
1.830000,task_impedance,0.53721729,0.14916314,25.82252797
1.840000,task_impedance,0.54161135,0.14771593,25.32276394
1.850000,task_impedance,0.54600776,0.14625312,24.81541893
1.860000,task_impedance,0.55040802,0.14477745,24.30105151
1.870000,task_impedance,0.55481367,0.14329177,23.78024257
1.880000,task_impedance,0.55922630,0.14179908,23.25359440
1.890000,task_impedance,0.56364754,0.14030249,22.72172966
