time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
0.675000,0.081375,-1.396342,1.713089,-1.734224,1.570472,0.000000,0.245025,-0.420663,0.179518,0.690352,-0.000976,0.000000,0.132000,-0.226620,0.096710,0.371907,-0.000526,0.000000
0.700000,0.087537,-1.406922,1.717604,-1.716862,1.570448,0.000000,0.247783,-0.425397,0.181538,0.698122,-0.000987,0.000000,0.088494,-0.151928,0.064835,0.249329,-0.000352,0.000000
0.725000,0.093755,-1.417596,1.722159,-1.699344,1.570423,0.000000,0.249445,-0.428250,0.182756,0.702805,-0.000993,0.000000,0.044395,-0.076218,0.032526,0.125082,-0.000177,0.000000
0.750000,0.100000,-1.428319,1.726735,-1.681748,1.570398,0.000000,0.250000,-0.429204,0.183163,0.704369,-0.000995,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
0.775000,0.106245,-1.439041,1.731311,-1.664152,1.570373,0.000000,0.249445,-0.428250,0.182756,0.702805,-0.000993,0.000000,-0.044395,0.076218,-0.032526,-0.125082,0.000177,0.000000
0.800000,0.112463,-1.449715,1.735866,-1.646633,1.570349,0.000000,0.247783,-0.425397,0.181538,0.698122,-0.000987,0.000000,-0.088494,0.151928,-0.064835,-0.249329,0.000352,0.000000
0.825000,0.118625,-1.460295,1.740381,-1.629271,1.570324,0.000000,0.245025,-0.420663,0.179518,0.690352,-0.000976,0.000000,-0.132000,0.226620,-0.096710,-0.371907,0.000526,0.000000
0.850000,0.124705,-1.470733,1.744835,-1.612141,1.570300,0.000000,0.241190,-0.414079,0.176708,0.679548,-0.000960,0.000000,-0.174617,0.299786,-0.127934,-0.491980,0.000695,0.000000
0.875000,0.130676,-1.480984,1.749210,-1.595318,1.570276,0.000000,0.236304,-0.405690,0.173128,0.665781,-0.000941,0.000000,-0.216049,0.370917,-0.158289,-0.608714,0.000860,0.000000
0.900000,0.136512,-1.491003,1.753485,-1.578876,1.570253,0.000000,0.230400,-0.395554,0.168803,0.649147,-0.000917,0.000000,-0.256000,0.439505,-0.187559,-0.721274,0.001019,0.000000
0.925000,0.142188,-1.500747,1.757644,-1.562884,1.570230,0.000000,0.223519,-0.383740,0.163761,0.629759,-0.000890,0.000000,-0.294173,0.505040,-0.215526,-0.828825,0.001171,0.000000
