q2_rad,q3_rad,manipulability,det_j
0.370882,0.000000,0.00000000,0.00000000
0.370882,0.261799,0.03418814,0.03418814
0.370882,0.523599,0.05864801,0.05864801
0.370882,0.785398,0.07000558,0.07000558
0.370882,1.047198,0.06794831,0.06794831
0.370882,1.308997,0.05512278,0.05512278
0.370882,1.570796,0.03628279,0.03628279
0.370882,1.832596,0.01692575,0.01692575
0.370882,2.094395,0.00178910,0.00178910
0.370882,2.356194,0.00638850,-0.00638850
0.370882,2.617994,0.00751120,-0.00751120
0.370882,2.879793,0.00400890,-0.00400890
0.370882,3.141593,0.00000000,-0.00000000
0.523599,-3.141593,0.00000000,0.00000000
0.523599,-2.879793,0.00086947,-0.00086947
0.523599,-2.617994,0.01016766,-0.01016766
0.523599,-2.356194,0.02835799,-0.02835799
0.523599,-2.094395,0.05310375,-0.05310375
0.523599,-1.832596,0.07972134,-0.07972134
0.523599,-1.570796,0.10230253,-0.10230253
0.523599,-1.308997,0.11521418,-0.11521418
0.523599,-1.047198,0.11457915,-0.11457915
0.523599,-0.785398,0.09934367,-0.09934367
0.523599,-0.523599,0.07164306,-0.07164306
0.523599,-0.261799,0.03636231,-0.03636231
0.523599,0.000000,0.00000000,-0.00000000
0.523599,0.261799,0.03087155,0.03087155
0.523599,0.523599,0.05115126,0.05115126
0.523599,0.785398,0.05836007,0.05836007
0.523599,1.047198,0.05310375,0.05310375
0.523599,1.308997,0.03873774,0.03873774
0.523599,1.570796,0.02033533,0.02033533
0.523599,1.832596,0.00324490,0.00324490
0.523599,2.094395,0.00837165,-0.00837165
0.523599,2.356194,0.01262561,-0.01262561
0.523599,2.617994,0.01032414,-0.01032414
0.523599,2.879793,0.00462129,-0.00462129
0.523599,3.141593,0.00000000,-0.00000000
