q2_rad,q3_rad,manipulability,det_j
-2.530727,1.047198,0.04404272,-0.04404272
-2.530727,1.308997,0.02894457,-0.02894457
-2.530727,1.570796,0.01098561,-0.01098561
-2.530727,1.832596,0.00462723,0.00462723
-2.530727,2.094395,0.01410535,0.01410535
-2.530727,2.356194,0.01606679,0.01606679
-2.530727,2.617994,0.01182761,0.01182761
-2.530727,2.879793,0.00492375,0.00492375
-2.530727,3.141593,0.00000000,0.00000000
-2.378011,-3.141593,0.00000000,-0.00000000
-2.378011,-2.879793,0.00223221,0.00223221
-2.378011,-2.617994,0.01410509,0.01410509
-2.378011,-2.356194,0.03490200,0.03490200
-2.378011,-2.094395,0.06116688,0.06116688
-2.378011,-1.832596,0.08748611,0.08748611
-2.378011,-1.570796,0.10782837,0.10782837
-2.378011,-1.308997,0.11709118,0.11709118
-2.378011,-1.047198,0.11244437,0.11244437
-2.378011,-0.785398,0.09411215,0.09411215
-2.378011,-0.523599,0.06538259,0.06538259
-2.378011,-0.261799,0.03183728,0.03183728
-2.378011,0.000000,0.00000000,-0.00000000
-2.378011,0.261799,0.02424342,-0.02424342
-2.378011,0.523599,0.03704189,-0.03704189
-2.378011,0.785398,0.03743076,-0.03743076
-2.378011,1.047198,0.02742229,-0.02742229
-2.378011,1.308997,0.01132227,-0.01132227
-2.378011,1.570796,0.00553441,0.00553441
-2.378011,1.832596,0.01828280,0.01828280
-2.378011,2.094395,0.02385521,0.02385521
-2.378011,2.356194,0.02177939,0.02177939
-2.378011,2.617994,0.01423560,0.01423560
-2.378011,2.879793,0.00536166,0.00536166
-2.378011,3.141593,0.00000000,0.00000000
-2.225295,-3.141593,0.00000000,-0.00000000
-2.225295,-2.879793,0.00303746,0.00303746
-2.225295,-2.617994,0.01620224,0.01620224
-2.225295,-2.356194,0.03804391,0.03804391
-2.225295,-2.094395,0.06449364,0.06449364
-2.225295,-1.832596,0.08983286,0.08983286
-2.225295,-1.570796,0.10813230,0.10813230
